time,pitch,roll,label
1736849912,-16,-6,3
1736849912,-18,-7,3
1736849913,-18,-8,3
1736849913,-18,-8,3
1736849913,-19,-8,3
1736849913,-20,-7,3
1736849913,-22,-7,3
1736849914,-23,-7,3
1736849914,-25,-5,3
1736849914,-26,-5,3
1736849914,-27,-2,3
1736849914,-29,0,3
1736849915,-28,-1,3
1736849915,-29,-2,3
1736849915,-30,-3,3
1736849915,-30,-3,3
1736849915,-32,-2,3
1736849916,-34,1,3
1736849916,-37,4,3
1736849916,-38,6,3
1736849916,-37,6,3
1736849916,-37,6,3
1736849917,-36,2,3
1736849917,-34,-1,3
1736849917,-32,-5,3
1736849917,-30,-8,3
1736849917,-28,-11,3
1736849918,-27,-13,3
1736849918,-28,-16,3
1736849918,-27,-19,3
1736849918,-28,-20,3
1736849918,-29,-20,3
1736849919,-27,-17,3
1736849919,-29,-15,3
1736849919,-31,-13,3
1736849919,-33,-11,3
1736849919,-34,-9,3
1736849920,-33,-11,3
1736849920,-32,-14,3
1736849920,-31,-18,3
1736849920,-32,-18,3
1736849920,-35,-15,3
1736849921,-38,-14,3
1736849921,-41,-12,3
1736849921,-42,-11,3
1736849921,-44,-11,3
1736849921,-46,-15,3
1736849922,-49,-19,3
1736849922,-52,-22,3
1736849922,-53,-22,3
1736849922,-51,-17,3
1736849922,-45,-11,3
1736850011,1,-20,4
1736850011,0,-24,4
1736850011,-1,-29,4
1736850012,-1,-34,4
1736850012,-4,-36,4
1736850012,-5,-38,4
1736850012,-6,-41,4
1736850012,-6,-43,4
1736850013,-6,-47,4
1736850013,-7,-51,4
1736850013,-7,-56,4
1736850013,-7,-59,4
1736850014,-7,-61,4
1736850014,-7,-64,4
1736850014,-7,-66,4
1736850014,-8,-70,4
1736850014,-9,-74,4
1736850015,-10,-77,4
1736850015,-11,-80,4
1736850015,-12,-84,4
1736850015,-13,-87,4
1736850015,-15,-91,4
1736850016,-16,-95,4
1736850016,-18,-99,4
1736850016,-21,-103,4
1736850016,-24,-107,4
1736850016,-26,-110,4
1736850017,-27,-113,4
1736850017,-28,-117,4
1736850017,-27,-119,4
1736850017,-24,-121,4
1736850017,-21,-123,4
1736850018,-19,-125,4
1736850018,-18,-127,4
1736850018,-17,-130,4
1736850018,-18,-135,4
1736850018,-20,-139,4
1736850019,-22,-143,4
1736850019,-26,-149,4
1736850019,-29,-155,4
1736850019,-31,-161,4
1736850019,-32,-167,4
1736850020,-33,-173,4
1736850020,-35,-179,4
1736850020,-34,177,4
1736850020,-34,174,4
1736850020,-34,169,4
1736850021,-35,164,4
1736850021,-35,160,4
1736850021,-37,157,4
1736850021,-36,154,4
1736850021,-35,153,4
1736850022,-33,151,4
1736850022,-32,147,4
1736850022,-31,143,4
1736850022,-31,138,4
1736850022,-30,133,4
1736850023,-30,127,4
1736850023,-30,119,4
1736850023,-30,112,4
1736850023,-29,107,4
1736850023,-29,101,4
1736850024,-29,96,4
1736850024,-28,94,4
1736850024,-27,91,4
1736850024,-26,88,4
1736850024,-24,85,4
1736850025,-23,83,4
1736850025,-22,80,4
1736850025,-21,76,4
1736850025,-19,73,4
1736850025,-17,70,4
1736850026,-16,67,4
1736850026,-15,63,4
1736850026,-14,59,4
1736850026,-11,53,4
1736850026,-9,51,4
1736850027,-6,48,4
1736850027,-3,43,4
1736850027,-1,40,4
1736850027,-3,36,4
1736850027,-3,32,4
1736850028,-3,28,4
1736850028,-3,26,4
1736850028,-3,26,4
1736850028,-2,20,4
1736850028,-1,17,4
1736850029,0,14,4
1736850029,0,12,4
1736850029,1,7,4
1736850029,1,4,4
1736850029,1,1,4
1736850030,1,-3,4
1736850030,0,-6,4
1736850030,0,-9,4
1736850030,0,-13,4
1736850030,0,-17,4
1736850031,0,-21,4
1736850031,-1,-24,4
1736850031,-1,-27,4
1736850031,-1,-30,4
1736850031,-2,-33,4
1736850032,-3,-36,4
1736850032,-4,-39,4
1736850032,-5,-43,4
1736850032,-5,-48,4
1736850032,-5,-51,4
1736850033,-6,-54,4
1736850033,-6,-57,4
1736850033,-8,-60,4
1736850033,-9,-63,4
1736850033,-10,-66,4
1736850034,-12,-69,4
1736850034,-16,-72,4
1736850034,-17,-75,4
1736850034,-18,-78,4
1736850034,-19,-81,4
1736850035,-19,-84,4
1736850035,-19,-88,4
1736850035,-19,-92,4
1736850035,-19,-96,4
1736850035,-20,-101,4
1736850036,-21,-104,4
1736850036,-22,-108,4
1736850036,-25,-111,4
1736850036,-29,-115,4
1736850036,-32,-119,4
1736850037,-33,-122,4
1736850037,-35,-127,4
1736850037,-36,-131,4
1736850037,-39,-135,4
1736850037,-41,-138,4
1736850038,-42,-141,4
1736850038,-43,-144,4
1736850038,-44,-148,4
1736850038,-44,-152,4
1736850039,-44,-156,4
1736850039,-44,-162,4
1736850039,-45,-169,4
1736850039,-45,-175,4
1736850039,-46,179,4
1736850040,-47,173,4
1736850040,-47,168,4
1736850040,-46,165,4
1736850040,-46,159,4
1736850040,-50,152,4
1736850041,-52,146,4
1736850041,-51,142,4
1736850041,-50,139,4
1736850041,-48,135,4
1736850041,-45,132,4
1736850042,-43,128,4
1736850042,-41,124,4
1736850042,-40,121,4
1736850042,-39,118,4
1736850042,-38,113,4
1736850043,-37,109,4
1736850043,-36,103,4
1736850043,-35,98,4
1736850043,-34,92,4
1736850043,-33,87,4
1736850044,-32,84,4
1736850044,-31,81,4
1736850044,-29,77,4
1736850044,-28,73,4
1736850044,-27,71,4
1736850045,-26,68,4
1736850045,-24,65,4
1736850045,-24,64,4
1736850045,-23,61,4
1736850074,0,-6,4
1736850074,0,-7,4
1736850075,1,-8,4
1736850075,2,-11,4
1736850075,2,-13,4
1736850075,2,-14,4
1736850075,2,-14,4
1736850076,2,-14,4
1736850076,1,-14,4
1736850076,2,-15,4
1736850076,-1,-14,4
1736850076,-1,-15,4
1736850077,-1,-15,4
1736850077,-3,-15,4
1736850077,-2,-16,4
1736850077,-1,-17,4
1736850077,2,-20,4
1736850078,3,-19,4
1736850078,4,-20,4
1736850078,5,-20,4
1736850078,6,-22,4
1736850078,7,-24,4
1736850079,6,-24,4
1736850079,5,-24,4
1736850079,5,-24,4
1736850079,4,-25,4
1736850079,3,-25,4
1736850080,3,-25,4
1736850080,2,-26,4
1736850080,1,-27,4
1736850080,1,-27,4
1736850080,1,-28,4
1736850081,0,-29,4
1736850081,0,-29,4
1736850081,0,-30,4
1736850081,-1,-31,4
1736850081,-2,-31,4
1736850082,-2,-33,4
1736850082,-2,-33,4
1736850082,-3,-34,4
1736850082,-2,-37,4
1736850082,-1,-37,4
1736850083,0,-38,4
1736850083,0,-39,4
1736850083,1,-39,4
1736850083,2,-40,4
1736850083,2,-41,4
1736850084,1,-42,4
1736850084,1,-42,4
1736850084,0,-44,4
1736850084,-2,-43,4
1736850084,-2,-43,4
1736850085,-3,-44,4
1736850085,-4,-43,4
1736850085,-5,-44,4
1736850085,-6,-44,4
1736850085,-7,-45,4
1736850086,-10,-47,4
1736850086,-12,-46,4
1736850086,-14,-46,4
1736850086,-16,-46,4
1736850086,-18,-45,4
1736850087,-19,-44,4
1736850087,-20,-45,4
1736850087,-19,-49,4
1736850087,-17,-49,4
1736850088,-16,-49,4
1736850088,-14,-50,4
1736850088,-14,-49,4
1736850088,-10,-51,4
1736850088,-6,-52,4
1736850089,-4,-52,4
1736850089,-4,-51,4
1736850089,-4,-51,4
1736850089,-5,-52,4
1736850089,-10,-54,4
1736850090,-14,-56,4
1736850090,-19,-59,4
1736850090,-22,-61,4
1736850090,-27,-62,4
1736850090,-29,-62,4
1736850091,-31,-62,4
1736850091,-30,-64,4
1736850091,-28,-65,4
1736850091,-26,-65,4
1736850091,-24,-65,4
1736850092,-21,-64,4
1736850092,-16,-64,4
1736850092,-14,-63,4
1736850092,-14,-62,4
1736850092,-13,-63,4
1736850093,-13,-64,4
1736850093,-17,-66,4
1736850093,-24,-69,4
1736850093,-27,-70,4
1736850093,-32,-73,4
1736850094,-36,-73,4
1736850094,-39,-73,4
1736850094,-43,-73,4
1736850094,-45,-74,4
1736850094,-41,-78,4
1736850095,-38,-79,4
1736850095,-37,-80,4
1736850095,-34,-79,4
1736850095,-29,-78,4
1736850095,-26,-77,4
1736850096,-25,-78,4
1736850096,-26,-79,4
1736850096,-28,-80,4
1736850096,-31,-81,4
1736850096,-37,-77,4
1736850097,-28,-77,4
1736850097,-29,-70,4
1736850097,-28,-87,4
1736850097,-34,-89,4
1736850097,-31,-87,4
1736850098,-33,-90,4
1736850098,-34,-92,4
1736850098,-34,-94,4
1736850098,-36,-95,4
1736850098,-37,-95,4
1736850099,-38,-97,4
1736850099,-38,-97,4
1736850099,-40,-95,4
1736850099,-42,-94,4
1736850099,-43,-90,4
1736850100,-44,-90,4
1736850100,-44,-90,4
1736850100,-45,-93,4
1736850100,-47,-95,4
1736850100,-48,-96,4
1736850101,-49,-98,4
1736850101,-49,-98,4
1736850101,-50,-99,4
1736850101,-50,-100,4
1736850101,-51,-102,4
1736850102,-52,-102,4
1736850102,-53,-99,4
1736850102,-54,-96,4
1736850102,-55,-93,4
1736850102,-56,-92,4
1736850103,-56,-95,4
1736850103,-57,-99,4
1736850103,-57,-102,4
1736850103,-58,-104,4
1736850103,-59,-104,4
1736850104,-60,-107,4
1736850104,-59,-104,4
1736850145,-2,-3,5
1736850145,-2,-3,5
1736850146,-2,-3,5
1736850146,-2,-3,5
1736850146,-1,-9,5
1736850146,2,-7,5
1736850146,11,-4,5
1736850147,12,4,5
1736850147,14,4,5
1736850147,14,4,5
1736850147,15,4,5
1736850147,20,4,5
1736850148,24,4,5
1736850148,24,4,5
1736850148,24,4,5
1736850148,24,4,5
1736850148,24,4,5
1736850149,23,4,5
1736850149,23,4,5
1736850149,23,5,5
1736850149,23,5,5
1736850149,23,4,5
1736850150,23,4,5
1736850150,24,4,5
1736850150,24,4,5
1736850150,24,4,5
1736850150,23,4,5
1736850151,21,4,5
1736850151,23,2,5
1736850151,25,1,5
1736850151,20,0,5
1736850151,16,2,5
1736850152,16,3,5
1736850152,16,4,5
1736850152,15,7,5
1736850152,13,-1,5
1736850152,11,1,5
1736850153,9,2,5
1736850153,9,5,5
1736850153,10,5,5
1736850153,11,7,5
1736850153,10,2,5
1736850154,10,1,5
1736850154,10,5,5
1736850154,9,4,5
1736850154,8,1,5
1736850154,8,0,5
1736850155,8,2,5
1736850155,8,5,5
1736850155,9,3,5
1736850155,13,-1,5
1736850155,12,4,5
1736850156,10,1,5
1736850156,10,0,5
1736850156,11,5,5
1736850156,11,4,5
1736850156,12,1,5
1736850157,12,4,5
1736850157,12,1,5
1736850157,12,6,5
1736850157,12,3,5
1736850157,12,2,5
1736850158,13,3,5
1736850158,14,7,5
1736850158,13,5,5
1736850158,14,6,5
1736850158,14,9,5
1736850159,14,9,5
1736850159,14,5,5
1736850159,11,0,5
1736850159,14,8,5
1736850159,14,5,5
